time,lcj,hxj,fyj,hgj,x,y,z,
2018-5-20 13:9:31.00000,4084085.05361,521328.78408,50.57948,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.00000,4084085.05291,521328.78699,50.59641,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:33.00000,4084085.05133,521328.78150,50.57218,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.00000,4084085.05397,521328.77989,50.57366,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.00000,4084085.05259,521328.78235,50.57982,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:36.00000,4084085.05362,521328.78183,50.57996,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:37.00000,4084085.05228,521328.78179,50.58774,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:38.00000,4084085.05283,521328.78271,50.59601,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:39.00000,4084085.05465,521328.77787,50.58673,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.00000,4084085.04917,521328.77877,50.58137,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:41.00000,4084085.05253,521328.78259,50.58974,0.00000,121.09493,-0.10800,-1.00800,
2018-5-20 13:9:42.00000,4084085.05204,521328.78134,50.59123,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.00000,4084085.05559,521328.77761,50.57831,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.00000,4084085.05623,521328.78130,50.58497,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.00000,4084085.05153,521328.78571,50.59308,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:46.00000,4084085.05171,521328.78355,50.59716,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:47.00000,4084085.04253,521328.78642,50.60341,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:48.00000,4084085.05355,521328.77938,50.57954,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:49.00000,4084085.04803,521328.78866,50.61574,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:50.00000,4084085.05260,521328.78442,50.59898,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:51.00000,4084085.04973,521328.78457,50.59281,0.00000,121.09494,-0.10800,-1.00800,
2018-5-20 13:9:52.00000,4084085.04869,521328.78253,50.60885,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:53.00000,4084085.05023,521328.78417,50.59831,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:54.00000,4084085.07174,521328.77301,50.53946,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:55.00000,4084085.06516,521328.77462,50.55422,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:56.00000,4084085.06808,521328.77123,50.53849,0.00000,121.09491,-0.10800,-1.00800,
2018-5-20 13:9:57.00000,4084085.06996,521328.76876,50.53981,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:58.00000,4084085.06748,521328.77043,50.54462,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:59.00000,4084085.06658,521328.77149,50.54650,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:10:0.00000,4084085.06547,521328.77203,50.54731,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:10:1.00000,4084085.06524,521328.77421,50.54945,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:10:2.00000,4084085.06654,521328.76942,50.54521,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:10:3.00000,4084085.05972,521328.77517,50.55732,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:10:4.00000,4084085.06676,521328.77433,50.55609,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:5.00000,4084085.06717,521328.77434,50.55454,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:6.00000,4084085.06554,521328.77496,50.55189,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:7.00000,4084085.06934,521328.77323,50.55031,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:8.00000,4084085.06732,521328.77333,50.55384,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:9.00000,4084085.06826,521328.77378,50.55243,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:10.00000,4084085.06906,521328.77087,50.54951,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:10:11.00000,4084085.06750,521328.77303,50.54993,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:12.00000,4084085.06777,521328.77407,50.55325,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:13.00000,4084085.06810,521328.77339,50.54664,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:14.00000,4084085.06877,521328.77499,50.55292,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:15.00000,4084085.06751,521328.77590,50.55643,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:16.00000,4084085.06682,521328.77368,50.55185,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:17.00000,4084085.06337,521328.77478,50.56094,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:18.00000,4084085.06739,521328.77578,50.55426,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:19.00000,4084085.07102,521328.77359,50.55808,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:20.00000,4084085.06942,521328.77472,50.56005,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:21.00000,4084085.06663,521328.77201,50.55059,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:22.00000,4084085.06626,521328.77563,50.55743,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:23.00000,4084085.06878,521328.77612,50.55241,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:24.00000,4084085.06824,521328.77474,50.55178,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:25.00000,4084085.06543,521328.77419,50.55570,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:26.00000,4084085.06273,521328.77345,50.56013,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:27.00000,4084085.06077,521328.77378,50.56158,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:28.00000,4084085.06828,521328.77090,50.54439,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:29.00000,4084085.06751,521328.77576,50.55676,0.00000,121.09400,-0.10704,-1.00800,
2018-5-20 13:10:30.00000,4084085.06168,521328.77628,50.56437,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:10:31.00000,4084085.06047,521328.77228,50.56247,0.00000,121.09400,-0.10800,-1.00900,
