time,lcj,hxj,fyj,hgj,
2018-5-20 13:9:30.01400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.07600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.12300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.17000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.21700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.27900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.32600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.37300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.42000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.48200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.52900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.57600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.63800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.68500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.73200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.77800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.84100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.88800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.93400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:30.98100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.04400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.09000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.13700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.20000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.24600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.29300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.34000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.40200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.44900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.49600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.55800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.60500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.65200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.71400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.76100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.80800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.85500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.90200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:31.96400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.01100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.05800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.10400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.16700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.21400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.26000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.32300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.38500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.41600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.46300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.52600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.57300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.61900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:32.68200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.72900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.77500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.82200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.88500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.93100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:32.97800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.02500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.08700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.13400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.18100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.22800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.29000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.33700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.38400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.44600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.49300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.54000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.58700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.64900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.69600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.74300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.80500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.85200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.89900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:33.94500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.00800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.05500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.10100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.14800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.21100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.25700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.30400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.35100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.41300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.46000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.50700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.56900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.61600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.66300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.71000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.77200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.81900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.86600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.92800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:34.97500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.02200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.06900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.13100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.17800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.22500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.27100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.33400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:35.38100,0.00000,121.09400,-0.10800,-1.00800,
