Sec,+-,+-,
2018-5-20 12:49:52.00000,-2428417.52300,4493275.97970,3807471.06590,
2018-5-20 12:49:53.00000,-2428417.53040,4493275.99330,3807471.07480,
2018-5-20 12:49:54.00000,-2428417.51960,4493275.96630,3807471.06570,
2018-5-20 12:49:55.00000,-2428417.52080,4493275.96880,3807471.06320,
2018-5-20 12:49:56.00000,-2428417.51430,4493275.95850,3807471.05960,
2018-5-20 12:49:57.00000,-2428417.51440,4493275.95620,3807471.05520,
2018-5-20 12:49:58.00000,-2428417.51340,4493275.95570,3807471.05910,
2018-5-20 12:49:59.00000,-2428417.50990,4493275.95300,3807471.05570,
2018-5-20 12:50:0.00000,-2428417.52380,4493275.97510,3807471.06930,
2018-5-20 12:50:1.00000,-2428417.51910,4493275.97300,3807471.06520,
2018-5-20 12:50:2.00000,-2428417.51770,4493275.96690,3807471.06430,
2018-5-20 12:50:3.00000,-2428417.52610,4493275.97600,3807471.07010,
2018-5-20 12:50:4.00000,-2428417.52890,4493275.97670,3807471.06890,
2018-5-20 12:50:5.00000,-2428417.51890,4493275.95890,3807471.05840,
2018-5-20 12:50:6.00000,-2428417.52200,4493275.96900,3807471.06210,
2018-5-20 12:50:7.00000,-2428417.52460,4493275.96670,3807471.06430,
2018-5-20 12:50:8.00000,-2428417.51850,4493275.95530,3807471.05880,
2018-5-20 12:50:9.00000,-2428417.51680,4493275.95380,3807471.05670,
2018-5-20 12:50:10.00000,-2428417.52780,4493275.97020,3807471.06400,
2018-5-20 12:50:11.00000,-2428417.52660,4493275.96930,3807471.06340,
2018-5-20 12:50:12.00000,-2428417.52430,4493275.96680,3807471.06370,
2018-5-20 12:50:13.00000,-2428417.52580,4493275.96630,3807471.06200,
2018-5-20 12:50:14.00000,-2428417.52090,4493275.96450,3807471.06190,
2018-5-20 12:50:15.00000,-2428417.51860,4493275.95740,3807471.05990,
2018-5-20 12:50:16.00000,-2428417.51680,4493275.95880,3807471.05590,
2018-5-20 12:50:17.00000,-2428417.52530,4493275.97320,3807471.06380,
2018-5-20 12:50:18.00000,-2428417.52150,4493275.96150,3807471.06360,
2018-5-20 12:50:19.00000,-2428417.52560,4493275.97140,3807471.06380,
2018-5-20 12:50:20.00000,-2428417.52230,4493275.96410,3807471.06090,
2018-5-20 12:50:21.00000,-2428417.51900,4493275.96430,3807471.06300,
2018-5-20 12:50:22.00000,-2428417.51440,4493275.95430,3807471.05580,
2018-5-20 12:50:23.00000,-2428417.52100,4493275.96170,3807471.05870,
2018-5-20 12:50:24.00000,-2428417.52320,4493275.96160,3807471.06240,
2018-5-20 12:50:25.00000,-2428417.51320,4493275.95070,3807471.05490,
2018-5-20 12:50:26.00000,-2428417.52270,4493275.96170,3807471.06020,
2018-5-20 12:50:27.00000,-2428417.51910,4493275.96260,3807471.06370,
2018-5-20 12:50:28.00000,-2428417.52070,4493275.95950,3807471.05800,
2018-5-20 12:50:29.00000,-2428417.52260,4493275.96500,3807471.06720,
2018-5-20 12:50:30.00000,-2428417.52280,4493275.96640,3807471.06320,
2018-5-20 12:50:31.00000,-2428417.53010,4493275.97710,3807471.06860,
2018-5-20 12:50:32.00000,-2428417.53010,4493275.97490,3807471.07000,
2018-5-20 12:50:33.00000,-2428417.53070,4493275.97900,3807471.06990,
2018-5-20 12:50:34.00000,-2428417.52500,4493275.96600,3807471.06400,
2018-5-20 12:50:35.00000,-2428417.52540,4493275.96930,3807471.06550,
2018-5-20 12:50:36.00000,-2428417.52650,4493275.97700,3807471.06630,
2018-5-20 12:50:37.00000,-2428417.52600,4493275.97030,3807471.06600,
2018-5-20 12:50:38.00000,-2428417.53160,4493275.97230,3807471.06990,
2018-5-20 12:50:39.00000,-2428417.52190,4493275.96320,3807471.06380,
2018-5-20 12:50:40.00000,-2428417.52260,4493275.96020,3807471.06400,
2018-5-20 12:50:41.00000,-2428417.52200,4493275.96190,3807471.06310,
2018-5-20 12:50:42.00000,-2428417.52920,4493275.97270,3807471.07110,
2018-5-20 12:50:43.00000,-2428417.52550,4493275.96780,3807471.06500,
2018-5-20 12:50:44.00000,-2428417.53280,4493275.97590,3807471.06780,
2018-5-20 12:50:45.00000,-2428417.52910,4493275.96870,3807471.06490,
2018-5-20 12:50:46.00000,-2428417.53320,4493275.97350,3807471.06890,
2018-5-20 12:50:47.00000,-2428417.51980,4493275.95790,3807471.06180,
2018-5-20 12:50:48.00000,-2428417.52230,4493275.95660,3807471.06290,
2018-5-20 12:50:49.00000,-2428417.52620,4493275.96530,3807471.06920,
2018-5-20 12:50:50.00000,-2428417.52460,4493275.96250,3807471.06420,
2018-5-20 12:50:51.00000,-2428417.52450,4493275.95890,3807471.06640,
2018-5-20 12:50:52.00000,-2428417.52670,4493275.96500,3807471.06680,
2018-5-20 12:50:53.00000,-2428417.51840,4493275.95410,3807471.06400,
2018-5-20 12:50:54.00000,-2428417.52430,4493275.96060,3807471.06590,
2018-5-20 12:50:55.00000,-2428417.52230,4493275.95880,3807471.06650,
2018-5-20 12:50:56.00000,-2428417.52410,4493275.96260,3807471.06860,
2018-5-20 12:50:57.00000,-2428417.52520,4493275.96070,3807471.06700,
2018-5-20 12:50:58.00000,-2428417.52100,4493275.95770,3807471.06490,
2018-5-20 12:50:59.00000,-2428417.52100,4493275.95400,3807471.06410,
2018-5-20 12:51:0.00000,-2428417.52700,4493275.96560,3807471.07020,
2018-5-20 12:51:1.00000,-2428417.51850,4493275.95440,3807471.06180,
2018-5-20 12:51:2.00000,-2428417.51830,4493275.95130,3807471.06310,
2018-5-20 12:51:3.00000,-2428417.52510,4493275.96440,3807471.06720,
2018-5-20 12:51:4.00000,-2428417.52250,4493275.95980,3807471.06410,
2018-5-20 12:51:5.00000,-2428417.52250,4493275.96000,3807471.06210,
2018-5-20 12:51:6.00000,-2428417.52710,4493275.97310,3807471.07190,
2018-5-20 12:51:7.00000,-2428417.52640,4493275.96780,3807471.07500,
2018-5-20 12:51:8.00000,-2428417.51910,4493275.95630,3807471.06230,
2018-5-20 12:51:9.00000,-2428417.52220,4493275.95870,3807471.06580,
2018-5-20 12:51:10.00000,-2428417.52160,4493275.95570,3807471.06500,
2018-5-20 12:51:11.00000,-2428417.52060,4493275.95930,3807471.06800,
2018-5-20 12:51:12.00000,-2428417.51900,4493275.95670,3807471.06040,
2018-5-20 12:51:13.00000,-2428417.52440,4493275.96080,3807471.06390,
2018-5-20 12:51:14.00000,-2428417.52020,4493275.95420,3807471.06350,
2018-5-20 12:51:15.00000,-2428417.51710,4493275.94700,3807471.05810,
2018-5-20 12:51:16.00000,-2428417.51880,4493275.95470,3807471.06480,
2018-5-20 12:51:17.00000,-2428417.52320,4493275.96260,3807471.06700,
2018-5-20 12:51:18.00000,-2428417.52230,4493275.96040,3807471.06690,
2018-5-20 12:51:19.00000,-2428417.51450,4493275.95150,3807471.05680,
2018-5-20 12:51:20.00000,-2428417.52180,4493275.95680,3807471.06390,
2018-5-20 12:51:21.00000,-2428417.52210,4493275.95430,3807471.06310,
2018-5-20 12:51:22.00000,-2428417.51960,4493275.94590,3807471.05980,
2018-5-20 12:51:23.00000,-2428417.51510,4493275.94260,3807471.05310,
2018-5-20 12:51:24.00000,-2428417.51720,4493275.94680,3807471.05890,
2018-5-20 12:51:25.00000,-2428417.52050,4493275.94930,3807471.05640,
2018-5-20 12:51:26.00000,-2428417.51250,4493275.93940,3807471.05640,
