Sec,+-,+-,
2018-5-20 12:49:52.00000,4084085.03965,521328.77457,50.61188,
2018-5-20 12:49:53.00000,4084085.03747,521328.77461,50.62960,
2018-5-20 12:49:54.00000,4084085.04754,521328.77793,50.60104,
2018-5-20 12:49:55.00000,4084085.04388,521328.77780,50.60175,
2018-5-20 12:49:56.00000,4084085.04829,521328.77697,50.58987,
2018-5-20 12:49:57.00000,4084085.04596,521328.77816,50.58565,
2018-5-20 12:49:58.00000,4084085.04963,521328.77751,50.58726,
2018-5-20 12:49:59.00000,4084085.04933,521328.77571,50.58199,
2018-5-20 12:50:0.00000,4084085.04457,521328.77744,50.61099,
2018-5-20 12:50:1.00000,4084085.04374,521328.77431,50.60526,
2018-5-20 12:50:2.00000,4084085.04664,521328.77597,50.59990,
2018-5-20 12:50:3.00000,4084085.04409,521328.77904,50.61298,
2018-5-20 12:50:4.00000,4084085.04196,521328.78118,50.61381,
2018-5-20 12:50:5.00000,4084085.04582,521328.78083,50.59118,
2018-5-20 12:50:6.00000,4084085.04255,521328.77877,50.60169,
2018-5-20 12:50:7.00000,4084085.04479,521328.78214,50.60238,
2018-5-20 12:50:8.00000,4084085.04816,521328.78219,50.58874,
2018-5-20 12:50:9.00000,4084085.04775,521328.78141,50.58577,
2018-5-20 12:50:10.00000,4084085.04179,521328.78330,50.60588,
2018-5-20 12:50:11.00000,4084085.04213,521328.78267,50.60443,
2018-5-20 12:50:12.00000,4084085.04435,521328.78183,50.60198,
2018-5-20 12:50:13.00000,4084085.04283,521328.78339,50.60117,
2018-5-20 12:50:14.00000,4084085.04509,521328.77993,50.59798,
2018-5-20 12:50:15.00000,4084085.04790,521328.78128,50.59091,
2018-5-20 12:50:16.00000,4084085.04446,521328.77904,50.58881,
2018-5-20 12:50:17.00000,4084085.04075,521328.77968,50.60692,
2018-5-20 12:50:18.00000,4084085.04786,521328.78188,50.59712,
2018-5-20 12:50:19.00000,4084085.04162,521328.78079,50.60577,
2018-5-20 12:50:20.00000,4084085.04410,521328.78136,50.59763,
2018-5-20 12:50:21.00000,4084085.04661,521328.77835,50.59778,
2018-5-20 12:50:22.00000,4084085.04745,521328.77906,50.58467,
2018-5-20 12:50:23.00000,4084085.04398,521328.78135,50.59413,
2018-5-20 12:50:24.00000,4084085.04637,521328.78333,50.59712,
2018-5-20 12:50:25.00000,4084085.04897,521328.77971,50.58114,
2018-5-20 12:50:26.00000,4084085.04470,521328.78285,50.59568,
2018-5-20 12:50:27.00000,4084085.04804,521328.77924,50.59704,
2018-5-20 12:50:28.00000,4084085.04467,521328.78213,50.59205,
2018-5-20 12:50:29.00000,4084085.04858,521328.78118,50.60216,
2018-5-20 12:50:30.00000,4084085.04458,521328.78070,50.60082,
2018-5-20 12:50:31.00000,4084085.04117,521328.78204,50.61437,
2018-5-20 12:50:32.00000,4084085.04345,521328.78308,50.61366,
2018-5-20 12:50:33.00000,4084085.04103,521328.78167,50.61672,
2018-5-20 12:50:34.00000,4084085.04481,521328.78283,50.60186,
2018-5-20 12:50:35.00000,4084085.04415,521328.78161,50.60523,
2018-5-20 12:50:36.00000,4084085.04040,521328.77893,50.61155,
2018-5-20 12:50:37.00000,4084085.04385,521328.78166,50.60647,
2018-5-20 12:50:38.00000,4084085.04433,521328.78564,50.61234,
2018-5-20 12:50:39.00000,4084085.04701,521328.78142,50.59859,
2018-5-20 12:50:40.00000,4084085.04856,521328.78346,50.59687,
2018-5-20 12:50:41.00000,4084085.04711,521328.78213,50.59729,
2018-5-20 12:50:42.00000,4084085.04575,521328.78333,50.61243,
2018-5-20 12:50:43.00000,4084085.04452,521328.78241,50.60392,
2018-5-20 12:50:44.00000,4084085.04040,521328.78499,50.61407,
2018-5-20 12:50:45.00000,4084085.04294,521328.78515,50.60586,
2018-5-20 12:50:46.00000,4084085.04244,521328.78648,50.61320,
2018-5-20 12:50:47.00000,4084085.04881,521328.78209,50.59286,
2018-5-20 12:50:48.00000,4084085.04967,521328.78491,50.59356,
2018-5-20 12:50:49.00000,4084085.04900,521328.78420,50.60494,
2018-5-20 12:50:50.00000,4084085.04694,521328.78413,50.59936,
2018-5-20 12:50:51.00000,4084085.05063,521328.78575,50.59811,
2018-5-20 12:50:52.00000,4084085.04710,521328.78479,50.60348,
2018-5-20 12:50:53.00000,4084085.05298,521328.78266,50.59098,
2018-5-20 12:50:54.00000,4084085.04939,521328.78477,50.59893,
2018-5-20 12:50:55.00000,4084085.05139,521328.78386,50.59727,
2018-5-20 12:50:56.00000,4084085.05054,521328.78364,50.60189,
2018-5-20 12:50:57.00000,4084085.04996,521328.78551,50.60001,
2018-5-20 12:50:58.00000,4084085.05106,521328.78324,50.59504,
2018-5-20 12:50:59.00000,4084085.05237,521328.78499,50.59195,
2018-5-20 12:51:0.00000,4084085.04941,521328.78476,50.60606,
2018-5-20 12:51:1.00000,4084085.05103,521328.78261,50.58990,
2018-5-20 12:51:2.00000,4084085.05377,521328.78390,50.58843,
2018-5-20 12:51:3.00000,4084085.04819,521328.78367,50.60269,
2018-5-20 12:51:4.00000,4084085.04888,521328.78356,50.59661,
2018-5-20 12:51:5.00000,4084085.04717,521328.78347,50.59555,
2018-5-20 12:51:6.00000,4084085.04678,521328.78129,50.61240,
2018-5-20 12:51:7.00000,4084085.05226,521328.78318,50.61026,
2018-5-20 12:51:8.00000,4084085.05026,521328.78223,50.59177,
2018-5-20 12:51:9.00000,4084085.05091,521328.78382,50.59674,
2018-5-20 12:51:10.00000,4084085.05202,521328.78471,50.59392,
2018-5-20 12:51:11.00000,4084085.05280,521328.78212,50.59787,
2018-5-20 12:51:12.00000,4084085.04855,521328.78196,50.59087,
2018-5-20 12:51:13.00000,4084085.04765,521328.78476,50.59791,
2018-5-20 12:51:14.00000,4084085.05201,521328.78420,50.59143,
2018-5-20 12:51:15.00000,4084085.05238,521328.78489,50.58194,
2018-5-20 12:51:16.00000,4084085.05319,521328.78272,50.59203,
2018-5-20 12:51:17.00000,4084085.04952,521328.78285,50.60058,
2018-5-20 12:51:18.00000,4084085.05086,521328.78310,50.59863,
2018-5-20 12:51:19.00000,4084085.04970,521328.78047,50.58334,
2018-5-20 12:51:20.00000,4084085.05051,521328.78437,50.59411,
2018-5-20 12:51:21.00000,4084085.05110,521328.78582,50.59198,
2018-5-20 12:51:22.00000,4084085.05362,521328.78761,50.58314,
2018-5-20 12:51:23.00000,4084085.05128,521328.78523,50.57509,
2018-5-20 12:51:24.00000,4084085.05310,521328.78507,50.58232,
2018-5-20 12:51:25.00000,4084085.04884,521328.78680,50.58384,
2018-5-20 12:51:26.00000,4084085.05635,521328.78445,50.57383,
2018-5-20 12:51:27.00000,4084085.05341,521328.78410,50.58374,
2018-5-20 12:51:28.00000,4084085.05347,521328.78434,50.57983,
2018-5-20 12:51:29.00000,4084085.05240,521328.78815,50.57677,
2018-5-20 12:51:30.00000,4084085.05390,521328.78797,50.56910,
2018-5-20 12:51:31.00000,4084085.05415,521328.78677,50.58127,
2018-5-20 12:51:32.00000,4084085.05473,521328.78723,50.57249,
2018-5-20 12:51:33.00000,4084085.05316,521328.78845,50.56560,
2018-5-20 12:51:34.00000,4084085.05408,521328.78787,50.57869,
2018-5-20 12:51:35.00000,4084085.05395,521328.78695,50.56703,
2018-5-20 12:51:36.00000,4084085.05824,521328.78916,50.56933,
2018-5-20 12:51:37.00000,4084085.05510,521328.78906,50.57301,
2018-5-20 12:51:38.00000,4084085.05719,521328.78619,50.57621,
2018-5-20 12:51:39.00000,4084085.05234,521328.78726,50.57484,
2018-5-20 12:51:40.00000,4084085.05529,521328.78817,50.57625,
2018-5-20 12:51:41.00000,4084085.05063,521328.78932,50.58247,
2018-5-20 12:51:42.00000,4084085.05454,521328.78767,50.57791,
2018-5-20 12:51:43.00000,4084085.05857,521328.78654,50.57221,
2018-5-20 12:51:44.00000,4084085.05485,521328.78768,50.57601,
2018-5-20 12:51:45.00000,4084085.05537,521328.78579,50.57130,
2018-5-20 12:51:46.00000,4084085.05357,521328.78809,50.57305,
2018-5-20 12:51:47.00000,4084085.05741,521328.78751,50.56859,
2018-5-20 12:51:48.00000,4084085.05566,521328.78711,50.57609,
2018-5-20 12:51:49.00000,4084085.05644,521328.78814,50.57638,
2018-5-20 12:51:50.00000,4084085.05761,521328.78861,50.57616,
2018-5-20 12:51:51.00000,4084085.05565,521328.78837,50.57211,
2018-5-20 12:51:52.00000,4084085.05556,521328.78772,50.57672,
2018-5-20 12:51:53.00000,4084085.05946,521328.78851,50.56753,
2018-5-20 12:51:54.00000,4084085.05741,521328.78550,50.57192,
2018-5-20 12:51:55.00000,4084085.05281,521328.78500,50.58305,
2018-5-20 12:51:56.00000,4084085.05233,521328.78546,50.58769,
