time,lcj,hxj,fyj,hgj,
2018-5-20 11:6:11.26,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.322,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.369,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.416,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.463,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.525,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.572,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.619,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.666,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.728,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.775,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.822,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.884,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.931,0,121.15,-0.108,-1.008,
2018-5-20 11:6:11.978,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.024,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.087,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.134,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.18,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.227,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.29,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.336,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.383,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.446,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.492,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.539,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.586,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.648,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.695,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.742,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.789,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.851,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.898,0,121.15,-0.108,-1.008,
2018-5-20 11:6:12.945,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.007,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.054,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.101,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.148,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.21,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.257,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.304,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.35,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.413,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.46,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.506,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.569,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.616,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.662,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.709,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.772,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.818,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.865,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.912,0,121.15,-0.108,-1.008,
2018-5-20 11:6:13.974,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.021,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.068,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.13,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.177,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.224,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.271,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.333,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.38,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.427,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.474,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.536,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.583,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.63,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.692,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.739,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.786,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.832,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.895,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.942,0,121.15,-0.108,-1.008,
2018-5-20 11:6:14.988,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.051,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.098,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.144,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.191,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.254,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.3,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.347,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.394,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.456,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.503,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.55,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.597,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.659,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.706,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.753,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.815,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.862,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.909,0,121.15,-0.108,-1.008,
2018-5-20 11:6:15.956,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.018,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.065,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.112,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.174,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.221,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.268,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.314,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.377,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.424,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.47,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.517,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.58,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.626,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.673,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.736,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.782,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.829,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.876,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.938,0,121.15,-0.108,-1.008,
2018-5-20 11:6:16.985,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.032,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.079,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.141,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.188,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.235,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.297,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.344,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.391,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.438,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.5,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.547,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.594,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.64,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.703,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.75,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.796,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.859,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.906,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.952,0,121.15,-0.108,-1.008,
2018-5-20 11:6:17.999,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.062,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.108,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.155,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.202,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.264,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.311,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.358,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.42,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.467,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.514,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.561,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.639,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.67,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.717,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.764,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.826,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.873,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.92,0,121.15,-0.108,-1.008,
2018-5-20 11:6:18.982,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.029,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.076,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.122,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.185,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.232,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.278,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.325,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.388,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.434,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.481,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.544,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.59,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.653,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.684,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.746,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.793,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.84,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.887,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.949,0,121.15,-0.108,-1.008,
2018-5-20 11:6:19.996,0,121.15,-0.108,-1.008,
